Gene,MoleculeA,MoleculeB,Intact_Miscore
SMG6,MEOX2,SMG6,0.56
SMG6,SMG6,CASP6,0.56
SMG6,SMG6,HIP1,0.56
SMG6,SMG6,LAMP2,0.56
SMG7,UPF1,SMG7,0.53
SMG7,SMG5,SMG7,0.5
SMG7,SMG7,SMG5,0.5
SMG7,SMG7,UPF1,0.5
SMG7,UPF1,SMG7,0.5
SMG8,SMG8,SMG9,0.71
SMG8,SMG9,SMG8,0.71
SMG8,SMG1,SMG8,0.69
SMTN,SMTN,FILIP1L,0.56
SMTN,SMTN,WFS1,0.56
SMU1,IK,SMU1,0.83
SMU1,SMU1,IK,0.83
SMU1,MRFAP1L1,SMU1,0.78
SMU1,SMU1,MRFAP1L1,0.78
SMUG1,SMUG1,VAC14,0.67
SMUG1,VAC14,SMUG1,0.67
SMUG1,LMO2,SMUG1,0.6
SMUG1,NOXA1,SMUG1,0.6
SMUG1,SMUG1,LMO2,0.6
SMURF2,SMAD1,SMURF2,0.81
SMURF2,SMAD2,SMURF2,0.81
SMURF2,SMURF2,SMAD1,0.81
SMURF2,SMURF2,SMAD2,0.81
SMYD3,CSTF2T,SMYD3,0.56
SMYD3,ENKD1,SMYD3,0.56
SMYD3,MKRN3,SMYD3,0.56
SMYD3,NUP54,SMYD3,0.56
SNCAIP,SNCA,SNCAIP,0.83
SND1,MTDH,SND1,0.79
SND1,SND1,MTDH,0.79
SND1,SND1,PIWIL1,0.62
SNED1,ESR2,SNED1,0.35
SNRNP200,PRPF6,SNRNP200,0.71
SNRNP200,SNRNP200,PRPF6,0.71
SNRNP200,SNRNP200,WBP4,0.7
SNRNP35,ANKRD11,SNRNP35,0.56
SNRNP48,CDCA7L,SNRNP48,0.56
SNRNP48,ENKD1,SNRNP48,0.56
SNRNP48,SNRNP48,CDCA7L,0.56
SNRNP48,SNRNP48,ENKD1,0.56
SNRNP48,SNRNP48,SPRED1,0.56
SNRNP48,UBASH3A,SNRNP48,0.56
SNRPA,RBM3,SNRPA,0.83
SNRPA,SNRPA,RBM3,0.83
SNRPA,PTBP1,SNRPA,0.8
SNRPD2,CLNS1A,SNRPD2,0.84
SNRPD2,SNRPD2,CLNS1A,0.84
SNRPD3,CLNS1A,SNRPD3,0.83
SNRPD3,SNRPD3,CLNS1A,0.83
SNRPD3,LSM3,SNRPD3,0.74
SNRPN,CD2BP2,SNRPN,0.59
SNRPN,SNRPN,CD2BP2,0.59
SNRPN,SNRPN,HTATSF1,0.56
SNRPN,SNRPN,LSM4,0.56
SNRPN,SNRPN,PRPF3,0.56
SNTB1,ADRA1D,SNTB1,0.77
SNTB2,ADRA1D,SNTB2,0.84
SNX16,KIF6,SNX16,0.35
SNX16,VPS26B,SNX16,0.35
SNX19,PTPRN,SNX19,0.51
SNX19,SNX19,PTPRN,0.51
SNX19,ATP6V0D1,SNX19,0.35
SNX19,MYC,SNX19,0.35
SNX19,SLC15A3,SNX19,0.35
SNX19,SLC38A1,SNX19,0.35
SNX19,UNC93B1,SNX19,0.35
SNX25,ATP6V0D1,SNX25,0.35
SNX25,B4GAT1,SNX25,0.35
SNX25,TSPAN5,SNX25,0.35
SNX25,VAPB,SNX25,0.35
SNX29,AP2M1,SNX29,0.35
SNX29,TRAF1,SNX29,0.35
SNX31,LZTS2,SNX31,0.56
SNX31,NRBP1,SNX31,0.56
SNX31,SNX31,GOPC,0.56
SNX31,SNX31,LZTS2,0.56
SNX31,SNX31,NRBP1,0.56
SNX7,SNX4,SNX7,0.67
SNX7,SNX7,SNX4,0.67
SNX7,SNX7,TEX11,0.67
SNX7,TEX11,SNX7,0.67
SNX7,ABI2,SNX7,0.56
SNX8,ARL6IP1,SNX8,0.56
SNX8,C14orf119,SNX8,0.56
SOAT1,SOAT1,SOAT1,0.63
SOAT1,CANX,SOAT1,0.61
SOAT1,SOAT1,CANX,0.61
SOAT1,MKLN1,SOAT1,0.51
SOAT1,NDUFS1,SOAT1,0.51
SOCS1,ELOC,SOCS1,0.68
SOCS1,SOCS1,ELOC,0.68
SOCS1,SOCS1,SH3GL1,0.56
SOCS1,COMMD1,SOCS1,0.52
SOCS2,CUL5,SOCS2,0.84
SOCS2,SOCS2,CUL5,0.84
SOCS2,ELOC,SOCS2,0.57
SOHLH2,ELOA2,SOHLH2,0.37
SOHLH2,MAPT,SOHLH2,0.35
SORCS1,SORT1,SORCS1,0.54
SORCS1,SORT1,SORCS1,0.49
SORCS1,PILRA,SORCS1,0.4
SORCS2,SORCS2,BDNF,0.44
SORCS2,SORCS2,NGFR,0.44
SORCS2,SORCS2,NTF3,0.44
SORCS2,SORCS2,P01138-PRO_0000019599,0.44
SOS1,GRB2,SOS1,0.97
SOX10,CRX,SOX10,0.56
SOX10,LMO3,SOX10,0.56
SOX10,SOX10,C10orf55,0.56
SOX10,SOX10,CRX,0.56
SOX10,SOX10,DAZAP2,0.56
SOX11,SOX11,MTNR1A,0.37
SOX11,SOX5,SOX11,0.35
SOX17,CTNNB1,SOX17,0.5
SOX17,SOX17,CTNNB1,0.5
