id,gene1,gene2,score
9606.ENSP00000025301,AKAP11,PRKACB,0.948
9606.ENSP00000025301,AKAP11,PRKACA,0.939
9606.ENSP00000085219,CD22,PTPRC,0.999
9606.ENSP00000085219,CD22,PTPN6,0.997
9606.ENSP00000085219,CD22,CD19,0.992
9606.ENSP00000085219,CD22,CD79A,0.985
9606.ENSP00000085219,CD22,LYN,0.97
9606.ENSP00000085219,CD22,CD79B,0.96
9606.ENSP00000085219,CD22,SYK,0.959
9606.ENSP00000085219,CD22,CD200R1,0.935
9606.ENSP00000085219,CD22,MS4A1,0.928
9606.ENSP00000085219,CD22,CD5,0.903
9606.ENSP00000160382,ACTL6B,DPF1,0.999
9606.ENSP00000160382,ACTL6B,DPF3,0.999
9606.ENSP00000160382,ACTL6B,PHF10,0.992
9606.ENSP00000160382,ACTL6B,SMARCC2,0.991
9606.ENSP00000160382,ACTL6B,SMARCD1,0.99
9606.ENSP00000160382,ACTL6B,SMARCB1,0.989
9606.ENSP00000160382,ACTL6B,SMARCA2,0.982
9606.ENSP00000160382,ACTL6B,SMARCE1,0.982
9606.ENSP00000160382,ACTL6B,SMARCA4,0.98
9606.ENSP00000160382,ACTL6B,ARID1A,0.978
9606.ENSP00000160382,ACTL6B,DPF2,0.977
9606.ENSP00000160382,ACTL6B,SMARCC1,0.976
9606.ENSP00000160382,ACTL6B,ARID2,0.968
9606.ENSP00000160382,ACTL6B,SMARCD3,0.967
9606.ENSP00000160382,ACTL6B,ARID1B,0.964
9606.ENSP00000160382,ACTL6B,ACTL6A,0.961
9606.ENSP00000160382,ACTL6B,BRD7,0.96
9606.ENSP00000160382,ACTL6B,DMAP1,0.959
9606.ENSP00000160382,ACTL6B,PBRM1,0.958
9606.ENSP00000160382,ACTL6B,SS18,0.953
9606.ENSP00000160382,ACTL6B,SMARCD2,0.951
9606.ENSP00000160382,ACTL6B,ACTB,0.95
9606.ENSP00000160382,ACTL6B,BCL7A,0.945
9606.ENSP00000160382,ACTL6B,BANF1,0.939
9606.ENSP00000160382,ACTL6B,TRRAP,0.938
9606.ENSP00000160382,ACTL6B,EP400,0.937
9606.ENSP00000160382,ACTL6B,BRD9,0.933
9606.ENSP00000160382,ACTL6B,SS18L1,0.928
9606.ENSP00000160382,ACTL6B,MEAF6,0.927
9606.ENSP00000160382,ACTL6B,BCL7C,0.925
9606.ENSP00000160382,ACTL6B,RUVBL2,0.916
9606.ENSP00000160382,ACTL6B,ACTG1,0.914
9606.ENSP00000160382,ACTL6B,EPC1,0.91
9606.ENSP00000160382,ACTL6B,YEATS4,0.909
9606.ENSP00000160382,ACTL6B,RUVBL1,0.907
9606.ENSP00000160382,ACTL6B,EPC2,0.905
9606.ENSP00000160382,ACTL6B,PPARG,0.901
9606.ENSP00000160382,ACTL6B,ACTR8,0.9
9606.ENSP00000164227,BCL3,NFKB1,0.999
9606.ENSP00000164227,BCL3,NFKB2,0.999
9606.ENSP00000164227,BCL3,CYLD,0.986
9606.ENSP00000164227,BCL3,PIR,0.983
9606.ENSP00000164227,BCL3,RELB,0.959
9606.ENSP00000164227,BCL3,REL,0.952
9606.ENSP00000164227,BCL3,RELA,0.951
9606.ENSP00000164227,BCL3,HDAC1,0.909
9606.ENSP00000164227,BCL3,NFKBIA,0.904
9606.ENSP00000216479,AHSA1,HSP90AB1,0.999
9606.ENSP00000216479,AHSA1,HSP90AA1,0.999
9606.ENSP00000216479,AHSA1,STIP1,0.998
9606.ENSP00000216479,AHSA1,PTGES3,0.994
9606.ENSP00000216479,AHSA1,FKBP4,0.973
9606.ENSP00000216479,AHSA1,HSPA4,0.971
9606.ENSP00000216479,AHSA1,CDC37,0.968
9606.ENSP00000216479,AHSA1,PPID,0.95
9606.ENSP00000216479,AHSA1,HSPA8,0.93
9606.ENSP00000216479,AHSA1,HSP90B1,0.915
9606.ENSP00000216479,AHSA1,DNAJA1,0.902
9606.ENSP00000216911,AURKA,TPX2,0.999
9606.ENSP00000216911,AURKA,TACC3,0.998
9606.ENSP00000216911,AURKA,MYCN,0.998
9606.ENSP00000216911,AURKA,TP53,0.998
9606.ENSP00000216911,AURKA,PLK1,0.997
9606.ENSP00000216911,AURKA,CDC20,0.995
9606.ENSP00000216911,AURKA,INCENP,0.994
9606.ENSP00000216911,AURKA,BIRC5,0.993
9606.ENSP00000216911,AURKA,NEDD9,0.99
9606.ENSP00000216911,AURKA,CCNB2,0.988
9606.ENSP00000216911,AURKA,UBE2C,0.986
9606.ENSP00000216911,AURKA,CCNB1,0.979
9606.ENSP00000216911,AURKA,BORA,0.976
9606.ENSP00000216911,AURKA,KIF2C,0.975
9606.ENSP00000216911,AURKA,CKAP5,0.974
9606.ENSP00000216911,AURKA,KIF11,0.972
9606.ENSP00000216911,AURKA,BUB1,0.971
9606.ENSP00000216911,AURKA,HMMR,0.97
9606.ENSP00000216911,AURKA,PTTG1,0.967
9606.ENSP00000216911,AURKA,DLGAP5,0.966
9606.ENSP00000216911,AURKA,TOP2A,0.963
9606.ENSP00000216911,AURKA,GADD45A,0.961
9606.ENSP00000216911,AURKA,CENPA,0.959
9606.ENSP00000216911,AURKA,CPEB1,0.955
9606.ENSP00000216911,AURKA,CDCA8,0.952
9606.ENSP00000216911,AURKA,NCAPG,0.952
9606.ENSP00000216911,AURKA,CDK1,0.951
9606.ENSP00000216911,AURKA,CCNA2,0.949
9606.ENSP00000216911,AURKA,FN1,0.945
9606.ENSP00000216911,AURKA,HDAC6,0.944
9606.ENSP00000216911,AURKA,BRCA1,0.942
9606.ENSP00000216911,AURKA,CEP192,0.94
9606.ENSP00000216911,AURKA,KIF20A,0.936
9606.ENSP00000216911,AURKA,CEP55,0.936
9606.ENSP00000216911,AURKA,NDC80,0.933
9606.ENSP00000216911,AURKA,ASPM,0.93
9606.ENSP00000216911,AURKA,MAD2L1,0.929
9606.ENSP00000216911,AURKA,KIF23,0.924
9606.ENSP00000216911,AURKA,BUB1B,0.924
9606.ENSP00000216911,AURKA,AURKB,0.922
