gene_name,annotation
A1CF,nucleoplasm
ABCA10,plasma membrane
ABCA10,extracellular region
ABCA10,cytosol
ABCA13,plasma membrane
ABCA13,secretory granule membrane
ABCA13,azurophil granule membrane
ABCA7,plasma membrane
ABCA7,extracellular region
ABCA7,cytosol
ABCB1,plasma membrane
ABCB1,mitochondrial inner membrane
ABCB1,extracellular region
ABCB1,cytosol
ABCB5,plasma membrane
ABCB5,extracellular region
ABCB5,cytosol
ABCC3,plasma membrane
ABCC3,cytosol
ABCC3,mitochondrial matrix
ABCC3,extracellular region
ABCC3,nucleoplasm
ABCC5,plasma membrane
ABCC5,extracellular region
ABCC5,cytosol
ABCC9,plasma membrane
ABCC9,extracellular region
ABCC9,cytosol
ABCD1,peroxisomal membrane
ABCD1,peroxisomal matrix
ABCD1,cytosol
ABCF1,cytosol
ABCF2,plasma membrane
ABCF2,nucleoplasm
ABCG2,apical plasma membrane
ABCG2,nucleoplasm
ABCG2,plasma membrane
ABCG2,extracellular region
ABCG2,cytosol
ABCG8,nucleoplasm
ABCG8,plasma membrane
ABCG8,extracellular region
ABCG8,cytosol
ABI1,plasma membrane
ABI1,cytosol
ABL1,cytosol
ABL1,endoplasmic reticulum membrane
ABL1,plasma membrane
ABL1,nucleoplasm
ABL2,plasma membrane
ABL2,cytosol
ABLIM2,cytosol
ABRAXAS1,nucleoplasm
ACAN,lysosomal lumen
ACAN,Golgi lumen
ACAN,extracellular region
ACD,nucleoplasm
ACE,lysosomal lumen
ACE,Golgi membrane
ACE,clathrin-sculpted acetylcholine transport vesicle lumen
ACE,"chromosome, centromeric region"
ACE,secretory granule membrane
ACE,chromosome
ACE,endoplasmic reticulum lumen
ACE,endocytic vesicle lumen
ACE,endoplasmic reticulum membrane
ACE,mitochondrial matrix
ACE,secretory granule lumen
ACE,peroxisomal matrix
ACE,COPII-coated ER to Golgi transport vesicle
ACE,axonemal microtubule
ACE,cytosol
ACE,lysosomal membrane
ACE,Golgi lumen
ACE,nucleolus
ACE,plasma membrane
ACE,endocytic vesicle membrane
ACE,clathrin-sculpted acetylcholine transport vesicle membrane
ACE,extracellular region
ACE,nucleoplasm
ACKR3,plasma membrane
ACO1,mitochondrial intermembrane space
ACO1,mitochondrial matrix
ACO1,mitochondrial outer membrane
ACO1,mitochondrial inner membrane
ACO1,cytosol
ACOXL,peroxisomal matrix
ACSL3,mitochondrial outer membrane
ACSL3,endoplasmic reticulum membrane
ACSL3,cytosol
ACSL6,endoplasmic reticulum membrane
ACSM1,mitochondrial matrix
ACSM2A,mitochondrial matrix
ACSM4,mitochondrial matrix
ACTB,plasma membrane
ACTB,lysosomal membrane
ACTB,cytosol
ACTB,nucleoplasm
ACTG1,plasma membrane
ACTG1,lysosomal membrane
ACTG1,endosome membrane
ACTG1,cytosol
ACTL6B,nucleoplasm
ACVR1,plasma membrane
ACVR1,extracellular region
ACVR1,cytosol
ACVR1B,plasma membrane
ACVR1B,nucleoplasm
ACVR1B,extracellular region
ACVR1B,cytosol
ACVR2A,plasma membrane
ACVR2A,nucleoplasm
ACVR2A,extracellular region
ACVR2A,cytosol
ACVR2B,plasma membrane
ACVR2B,nucleoplasm
ACVR2B,extracellular region
ACVR2B,cytosol
ADAM10,endoplasmic reticulum lumen
