gene	cancer	subtype
FUCA2	Bladder Urothelial Carcinoma	High Microsatellite Instability
CXCL12	Bladder Urothelial Carcinoma	High Microsatellite Instability
EGF	Bladder Urothelial Carcinoma	High Microsatellite Instability
PAFAH1B1	Bladder Urothelial Carcinoma	High Microsatellite Instability
F2	Bladder Urothelial Carcinoma	High Microsatellite Instability
APP	Bladder Urothelial Carcinoma	High Microsatellite Instability
VAMP8	Bladder Urothelial Carcinoma	High Microsatellite Instability
APOA1	Bladder Urothelial Carcinoma	High Microsatellite Instability
APOB	Bladder Urothelial Carcinoma	High Microsatellite Instability
STX6	Bladder Urothelial Carcinoma	High Microsatellite Instability
ACTR2	Bladder Urothelial Carcinoma	High Microsatellite Instability
COG2	Bladder Urothelial Carcinoma	High Microsatellite Instability
FN1	Bladder Urothelial Carcinoma	High Microsatellite Instability
PLG	Bladder Urothelial Carcinoma	High Microsatellite Instability
CHRM2	Bladder Urothelial Carcinoma	High Microsatellite Instability
ARRB1	Bladder Urothelial Carcinoma	High Microsatellite Instability
SYT2	Bladder Urothelial Carcinoma	High Microsatellite Instability
KTN1	Bladder Urothelial Carcinoma	High Microsatellite Instability
TFRC	Bladder Urothelial Carcinoma	High Microsatellite Instability
TF	Bladder Urothelial Carcinoma	High Microsatellite Instability
WASL	Bladder Urothelial Carcinoma	High Microsatellite Instability
PTPN11	Bladder Urothelial Carcinoma	High Microsatellite Instability
PPBP	Bladder Urothelial Carcinoma	High Microsatellite Instability
ALB	Bladder Urothelial Carcinoma	High Microsatellite Instability
PPP2CA	Bladder Urothelial Carcinoma	High Microsatellite Instability
PRCP	Bladder Urothelial Carcinoma	High Microsatellite Instability
CD36	Bladder Urothelial Carcinoma	High Microsatellite Instability
KNG1	Bladder Urothelial Carcinoma	High Microsatellite Instability
TGOLN2	Bladder Urothelial Carcinoma	High Microsatellite Instability
CTTN	Bladder Urothelial Carcinoma	High Microsatellite Instability
FGG	Bladder Urothelial Carcinoma	High Microsatellite Instability
DNAJC3	Bladder Urothelial Carcinoma	High Microsatellite Instability
CDC42	Bladder Urothelial Carcinoma	High Microsatellite Instability
RPS27A	Bladder Urothelial Carcinoma	High Microsatellite Instability
MAPK1	Bladder Urothelial Carcinoma	High Microsatellite Instability
DYNC1H1	Bladder Urothelial Carcinoma	High Microsatellite Instability
C3	Bladder Urothelial Carcinoma	High Microsatellite Instability
EGFR	Bladder Urothelial Carcinoma	High Microsatellite Instability
RAP1A	Bladder Urothelial Carcinoma	High Microsatellite Instability
SF1	Bladder Urothelial Carcinoma	Low Microsatellite Instability
NCBP1	Bladder Urothelial Carcinoma	Low Microsatellite Instability
LRRC41	Bladder Urothelial Carcinoma	Low Microsatellite Instability
CTNNB1	Bladder Urothelial Carcinoma	Low Microsatellite Instability
APOA1	Bladder Urothelial Carcinoma	Low Microsatellite Instability
RBM5	Bladder Urothelial Carcinoma	Low Microsatellite Instability
RNF4	Bladder Urothelial Carcinoma	Low Microsatellite Instability
PUF60	Bladder Urothelial Carcinoma	Low Microsatellite Instability
BUD31	Bladder Urothelial Carcinoma	Low Microsatellite Instability
HDAC6	Bladder Urothelial Carcinoma	Low Microsatellite Instability
NCOR1	Bladder Urothelial Carcinoma	Low Microsatellite Instability
HSP90AA1	Bladder Urothelial Carcinoma	Low Microsatellite Instability
RNF213	Bladder Urothelial Carcinoma	Low Microsatellite Instability
SNRPF	Bladder Urothelial Carcinoma	Low Microsatellite Instability
DHX15	Bladder Urothelial Carcinoma	Low Microsatellite Instability
SRSF11	Bladder Urothelial Carcinoma	Low Microsatellite Instability
SRSF6	Bladder Urothelial Carcinoma	Low Microsatellite Instability
U2AF2	Bladder Urothelial Carcinoma	Low Microsatellite Instability
CWC25	Bladder Urothelial Carcinoma	Low Microsatellite Instability
UBE2I	Bladder Urothelial Carcinoma	Low Microsatellite Instability
VEGFA	Bladder Urothelial Carcinoma	Low Microsatellite Instability
KNG1	Bladder Urothelial Carcinoma	Low Microsatellite Instability
UBB	Bladder Urothelial Carcinoma	Low Microsatellite Instability
CDC5L	Bladder Urothelial Carcinoma	Low Microsatellite Instability
AR	Bladder Urothelial Carcinoma	Low Microsatellite Instability
TAS2R19	Bladder Urothelial Carcinoma	Low Microsatellite Instability
RANBP2	Bladder Urothelial Carcinoma	Low Microsatellite Instability
CDC42	Bladder Urothelial Carcinoma	Low Microsatellite Instability
RPS27A	Bladder Urothelial Carcinoma	Low Microsatellite Instability
SP1	Bladder Urothelial Carcinoma	Low Microsatellite Instability
KAT2B	Bladder Urothelial Carcinoma	Low Microsatellite Instability
SNW1	Bladder Urothelial Carcinoma	Low Microsatellite Instability
UBE3A	Bladder Urothelial Carcinoma	Low Microsatellite Instability
SIN3B	Bladder Urothelial Carcinoma	Low Microsatellite Instability
EP300	Bladder Urothelial Carcinoma	Low Microsatellite Instability
SRRT	Bladder Urothelial Carcinoma	Low Microsatellite Instability
GNAI3	Bladder Urothelial Carcinoma	Low Microsatellite Instability
SF3B1	Bladder Urothelial Carcinoma	Low Microsatellite Instability
PSMA7	Bladder Urothelial Carcinoma	Non-Papillary
ADRB2	Bladder Urothelial Carcinoma	Non-Papillary
PIK3CG	Bladder Urothelial Carcinoma	Non-Papillary
RACGAP1	Bladder Urothelial Carcinoma	Non-Papillary
GNGT1	Bladder Urothelial Carcinoma	Non-Papillary
PAK1	Bladder Urothelial Carcinoma	Non-Papillary
RAC1	Bladder Urothelial Carcinoma	Non-Papillary
RHOA	Bladder Urothelial Carcinoma	Non-Papillary
UBE2N	Bladder Urothelial Carcinoma	Non-Papillary
CPSF6	Bladder Urothelial Carcinoma	Non-Papillary
ARHGAP1	Bladder Urothelial Carcinoma	Non-Papillary
HSP90AA1	Bladder Urothelial Carcinoma	Non-Papillary
GRB2	Bladder Urothelial Carcinoma	Non-Papillary
TRIO	Bladder Urothelial Carcinoma	Non-Papillary
