source	target	weight
CCNA2	BRCA1	979
CCNA2	BUB1B	999
CCNA2	CDT1	998
CCNA2	ELAVL1	890
CCNA2	CDK1	999
CCNA2	CDC20	999
HSPA8	UBC	946
H2AFV	CDK1	979
H2AFV	POLR2H	915
NHP2L1	ELAVL1	935
NHP2L1	POLR2H	984
NHP2L1	HSPA8	926
ELAVL1	HSPA8	938
AURKA	BRCA1	979
AURKA	PLK1	998
UBE2S	CDC20	999
UBE2S	UBA52	996
BUB1B	AURKB	999
CDK7	POLR2H	907
CCNB1	CDK1	999
CCNB1	NUP214	913
CCNB1	AURKB	998
CCNB1	CCNA2	998
CCNB1	CDC20	999
CCNB1	PLK1	999
CCNB1	CDK7	981
CCNB1	UBE2D1	959
HSP90AA1	CDC5L	983
HSP90AA1	UBC	948
HSP90AA1	CDK1	978
HSP90AA1	GNB2L1	974
HSP90AA1	HSPA8	999
TP53	BRCA1	996
TP53	AURKB	986
TP53BP1	BRCA1	994
TP53BP1	UBA52	995
PLK1	CDC20	999
PLK1	CDC5L	996
PLK1	CDK1	998
PLK1	BUB1	999
POLR2H	HSPA8	913
POLR2H	BRCA1	940
POLR2H	POLR2A	999
POLR2H	UBC	912
CDC20	UBC	999
CDC20	UBA52	933
CDC20	CDK1	999
BUB1	AURKB	999
UBB	UBA52	996
UBB	TP53BP1	995
UBB	UBC	998
UBB	HSPA8	950
UBB	UBE2D1	996
UBB	PCNA	997
UBB	CDC20	930
BRCA1	UBC	960
BRCA1	POLR2A	992
PCNA	UBA52	996
PCNA	CDK1	997
CDC5L	POLR2H	915
CDC5L	NHP2L1	934
CDC5L	HSPA8	998
UBA52	GNB2L1	998
PSMA3	AURKB	939
PSMA3	UBA52	996
RPS27A	NHP2L1	983
RPS27A	UBB	997
RPS27A	UBA52	999
RPS27A	POLR2H	933
CSNK1D	CDK1	950
CSNK1D	NHP2L1	903
CDT1	UBB	947
AURKB	UBC	941
AURKB	CDK1	998
AURKB	CDC20	999
NUP214	HSPA8	918
