source	target	weight
HLA-DRB1	PTAFR	904
HLA-DRB1	PTPN6	926
HLA-DRB1	GNB1	901
HLA-DRB1	HLA-DRA	999
TAS1R1	NMS	900
TAS1R1	SSTR2	917
TAS1R1	CXCL1	900
TAS1R1	TAS2R42	947
TAS1R1	CORT	900
TAS1R1	GNB1	901
GNG13	TAS2R42	937
GNG13	LPAR4	900
GNB4	LPAR4	911
GNB4	GNG8	999
CORT	LPAR3	900
CORT	CXCL1	915
CORT	GNB1	900
APP	B2M	926
LPAR3	LPAR4	989
GNG8	CORT	900
GNG8	CXCL1	900
GNG8	GNB1	999
GNG8	TAS1R1	900
SSTR2	CXCL1	900
SSTR2	NMS	900
SSTR2	CORT	969
SSTR2	GNB1	918
SSTR2	LPAR3	906
HLA-DRA	B2M	923
GNAI2	CCL5	919
GNAI2	HLA-DRB1	900
GNG11	PPBP	912
GNG11	LPAR4	906
MCHR2	CXCL5	900
MCHR2	PPBP	900
PPBP	B2M	929
PPBP	PTPN6	905
PPBP	CXCR2	988
PPBP	PF4	980
PF4	CCL5	990
CXCL1	CCL5	986
CXCL1	B2M	931
CXCL5	CXCR2	993
CXCL5	CCL5	975
CXCL5	CXCL1	979
KNG1	CXCL5	912
KNG1	LPAR4	901
LPAR5	LPAR4	915
LPAR5	TAS1R1	955
NMUR2	PTAFR	903
NMUR2	CXCL5	900
NMUR2	NMU	994
NMUR2	PF4	900
NMUR2	APP	910
NMUR2	NMS	979
NMUR2	PPBP	900
UTS2	NMU	931
UTS2	FPR2	902
UTS2	PIK3R1	903
UTS2	MCHR2	956
UTS2	PTAFR	900
TAS2R42	NMS	900
TAS2R42	GNB1	902
TAS2R42	CORT	900
TAS2R42	SSTR2	900
TAS2R42	CXCL1	900
NMS	CORT	917
PIK3R1	B2M	921
FPR2	CCL5	935
